,gene name,length
107,ABCG2,6845
108,ABCG4,4046
109,ABCG5,2786
110,ABCG8,7768
111,ABHD1,1470
112,ABHD10,2851
113,ABHD11,1610
114,ABHD12,3056
115,ABHD12B,1815
116,ABHD13,5887
117,ABHD14A,1395
118,ABHD14A-ACY1,1705
119,ABHD14B,3994
120,ABHD15,3492
121,ABHD15-AS1,187
122,ABHD16A,2599
123,ABHD16B,1491
124,ABHD17A,5137
125,ABHD17AP1,933
126,ABHD17AP3,1137
127,ABHD17AP4,909
128,ABHD17AP5,923
129,ABHD17AP6,1044
130,ABHD17AP7,595
131,ABHD17AP8,574
132,ABHD17AP9,548
133,ABHD17B,4574
134,ABHD17C,2452
135,ABHD18,7073
136,ABHD2,11425
137,ABHD3,2683
138,ABHD4,3210
139,ABHD5,6264
140,ABHD6,4527
141,ABHD8,2131
142,ABI1,4437
143,ABI1P1,1120
144,ABI2,22379
145,ABI3,1946
146,ABI3BP,7509
147,ABITRAM,2143
148,ABITRAMP1,541
149,ABL1,7006
150,ABL2,12361
151,ABLIM1,9005
152,ABLIM2,5288
153,ABLIM3,6336
154,ABO,1914
155,ABR,7101
156,ABR-AS1,1816
157,ABRA,2754
158,ABRACL,3931
159,ABRAXAS1,6168
160,ABRAXAS1P1,1201
161,ABRAXAS1P2,1119
162,ABRAXAS2,3377
163,ABT1,2943
164,ABT1P1,821
165,ABTB1,2328
166,ABTB2,4905
167,ABTB3,7867
168,ACAA1,3667
169,ACAA2,3710
170,ACAA2P1,978
171,ACACA,11072
172,ACACB,9451
173,ACAD10,5701
174,ACAD11,4067
175,ACAD8,2587
176,ACAD9,4262
177,ACAD9-DT,8060
178,ACADL,2515
179,ACADM,4430
180,ACADS,2028
181,ACADSB,5882
182,ACADVL,2687
183,ACAN,10750
184,ACAP1,4129
185,ACAP2,7864
186,ACAP2-IT1,690
187,ACAP3,4318
188,ACAT1,4130
189,ACAT2,2344
190,ACBD3,3629
191,ACBD3-AS1,913
192,ACBD4,3041
193,ACBD5,10054
194,ACBD6,6000
195,ACBD7,3370
196,ACCS,2509
197,ACCSL,1820
198,ACCSLP1,1203
199,ACD,2096
200,ACE,5392
201,ACE2,9403
202,ACE2-DT,787
203,ACE3P,1973
204,ACER1,1428
205,ACER2,2773
206,ACER2P1,823
207,ACER3,7537
208,ACER3-AS1,814
209,ACHE,5050
210,ACIN1,5530
211,ACKR1,1368
212,ACKR2,5950
213,ACKR3,4254
214,ACKR4,4108
215,ACKR4P1,1053
216,ACLY,5278
217,ACMSD,2580
218,ACNATP,1225
219,ACO1,8801
220,ACO2,4905
221,ACO2P1,2194
222,ACO2P2,2310
223,ACOD1,2147
224,ACOT1,1686
225,ACOT11,8823
226,ACOT12,2328
227,ACOT13,4505
228,ACOT2,1773
229,ACOT4,1465
230,ACOT6,1520
231,ACOT7,2787
232,ACOT8,1979
233,ACOT9,7516
234,ACOX1,7913
235,ACOX2,3995
236,ACOX3,6142
237,ACOXL,5363
238,ACOXL-AS1,5839
239,ACP1,3343
240,ACP2,3991
241,ACP3,3774
242,ACP4,1342
243,ACP5,2798
244,ACP6,7886
245,ACP7,2976
246,ACR,1567
247,ACRBP,1987
248,ACRP1,698
249,ACRV1,1963
250,ACSBG1,6677
251,ACSBG2,2778
252,ACSF2,2623
253,ACSF3,4814
254,ACSL1,8460
255,ACSL3,9753
256,ACSL3-AS1,537
257,ACSL3P1,1917
258,ACSL4,6457
259,ACSL5,4815
260,ACSL6,7582
261,ACSL6-AS1,942
262,ACSM1,2143
263,ACSM2A,4162
264,ACSM2B,3738
265,ACSM3,5932
266,ACSM4,2349
267,ACSM5,4015
268,ACSM5P1,2438
269,ACSM6,1675
270,ACSS1,5854
271,ACSS2,3118
272,ACSS3,8625
273,ACSS3-AS1,882
274,ACTA1,3680
275,ACTA2,5269
276,ACTA2-AS1,2450
277,ACTB,3629
278,ACTBL2,2794
279,ACTBP1,1113
280,ACTBP11,1126
281,ACTBP12,418
282,ACTBP14,1089
283,ACTBP15,1060
284,ACTBP16,1069
285,ACTBP2,1123
286,ACTBP4,1070
287,ACTBP6,1090
288,ACTBP7,1124
289,ACTBP8,1108
290,ACTBP9,1099
291,ACTC1,2411
292,ACTE1P,3862
293,ACTG1,4712
294,ACTG1P1,1129
295,ACTG1P10,1082
296,ACTG1P11,1125
297,ACTG1P12,1166
298,ACTG1P13,1043
299,ACTG1P14,1122
300,ACTG1P15,1063
301,ACTG1P16,1082
302,ACTG1P17,5472
303,ACTG1P18,1143
304,ACTG1P19,1116
305,ACTG1P2,1125
306,ACTG1P20,468
307,ACTG1P21,1000
308,ACTG1P22,1099
309,ACTG1P23,1074
310,ACTG1P24,877
311,ACTG1P25,2321
312,ACTG1P3,1114
313,ACTG1P4,1122
314,ACTG1P9,2658
315,ACTG2,5599
316,ACTL10,1583
317,ACTL11P,3959
318,ACTL6A,1942
319,ACTL6B,1603
320,ACTL7A,1491
321,ACTL7B,1399
322,ACTL8,2249
323,ACTL9,1396
324,ACTMAP,3751
325,ACTN1,5247
326,ACTN1-DT,1058
327,ACTN2,5396
328,ACTN3,3323
329,ACTN3-AS1,580
330,ACTN4,5672
331,ACTN4P1,1451
332,ACTN4P2,1892
333,ACTP1,383
334,ACTR10,2568
335,ACTR1A,2907
336,ACTR1AP1,1126
337,ACTR1B,2358
338,ACTR2,3884
339,ACTR2P1,1165
340,ACTR2P2,1185
341,ACTR3,7225
342,ACTR3-AS1,7193
343,ACTR3B,2355
344,ACTR3BP1,1247
345,ACTR3BP2,1373
346,ACTR3BP3,979
347,ACTR3BP4,1244
348,ACTR3BP5,1479
349,ACTR3BP6,1338
350,ACTR3BP7,1241
351,ACTR3C,4193
352,ACTR3P2,1257
353,ACTR3P3,893
354,ACTR5,2550
355,ACTR6,2032
356,ACTR6P1,1104
357,ACTR8,6509
358,ACTRT1,1442
359,ACTRT1P1,1123
360,ACTRT2,1437
361,ACTRT3,2312
362,ACVR1,4826
363,ACVR1B,5550
364,ACVR1C,9075
365,ACVR2A,5721
366,ACVR2B,11782
367,ACVR2B-AS1,2517
368,ACVRL1,5691
369,ACY1,2375
370,ACY3,2174
371,ACYP1,2180
372,ACYP2,4344
373,ADA,3680
374,ADA2,7606
375,ADAD1,2220
376,ADAD1P1,1936
377,ADAD1P2,646
378,ADAD2,2296
379,ADAM10,13245
380,ADAM11,4777
381,ADAM12,8850
382,ADAM15,3418
383,ADAM17,7402
384,ADAM18,3269
385,ADAM19,7152
386,ADAM1A,2129
387,ADAM1B,2000
388,ADAM2,2610
389,ADAM20,2795
390,ADAM20P1,3733
391,ADAM20P2,1273
392,ADAM20P3,2106
393,ADAM21,3557
394,ADAM21P1,2311
395,ADAM22,11363
396,ADAM23,6660
397,ADAM24P,2101
398,ADAM28,7614
399,ADAM29,3386
400,ADAM30,2983
401,ADAM32,2720
402,ADAM33,3724
403,ADAM3A,2898
404,ADAM3B,840
405,ADAM5,1942
406,ADAM6,2015
407,ADAM7,4483
408,ADAM7-AS1,3617
409,ADAM7-AS2,1442
410,ADAM8,3307
411,ADAM9,6705
412,ADAMDEC1,2348
413,ADAMTS1,5261
414,ADAMTS10,4361
415,ADAMTS12,8807
416,ADAMTS13,5580
417,ADAMTS14,5738
418,ADAMTS15,6006
419,ADAMTS16,5823
420,ADAMTS16-AS1,454
421,ADAMTS16-DT,7092
422,ADAMTS17,6485
423,ADAMTS18,5833
424,ADAMTS19,6083
425,ADAMTS19-AS1,4820
426,ADAMTS2,8585
427,ADAMTS20,7853
428,ADAMTS3,6244
429,ADAMTS4,10349
430,ADAMTS5,9621
431,ADAMTS6,7309
432,ADAMTS7,5561
433,ADAMTS7P1,4793
434,ADAMTS7P3,3716
435,ADAMTS7P4,3611
436,ADAMTS7P5,1596
437,ADAMTS8,3628
438,ADAMTS9,8699
439,ADAMTS9-AS1,5333
440,ADAMTS9-AS2,14305
441,ADAMTSL1,10576
442,ADAMTSL2,5428
443,ADAMTSL3,7756
444,ADAMTSL4,4796
445,ADAMTSL4-AS1,1914
446,ADAMTSL4-AS2,665
447,ADAMTSL5,2979
448,ADAP1,2839
449,ADAP2,3608
450,ADAR,8566
451,ADARB1,7878
452,ADARB2,8713
453,ADARB2-AS1,1980
454,ADAT1,5888
455,ADAT2,6784
456,ADAT3,1756
457,ADCK1,3556
458,ADCK2,3178
459,ADCK5,2152
460,ADCY1,13090
461,ADCY10,5843
462,ADCY10P1,5936
463,ADCY2,7105
464,ADCY3,5651
465,ADCY4,3759
466,ADCY5,8041
467,ADCY6,7266
468,ADCY6-DT,2042
469,ADCY7,6342
470,ADCY8,5100
471,ADCY9,8150
472,ADCYAP1,3543
473,ADCYAP1R1,6836
474,ADD1,5915
475,ADD2,11505
476,ADD3,6642
477,ADD3-AS1,4660
478,ADGB,6810
479,ADGB-DT,2527
480,ADGRA1,4852
481,ADGRA1-AS1,3739
482,ADGRA2,6980
483,ADGRA3,5917
484,ADGRA3P1,1450
485,ADGRB1,6241
486,ADGRB2,5811
487,ADGRB3,6314
488,ADGRB3-DT,5631
489,ADGRD1,6810
490,ADGRD1-AS1,1277
491,ADGRD1-AS2,2028
492,ADGRD2,3515
493,ADGRE1,3233
494,ADGRE2,7491
495,ADGRE3,4020
496,ADGRE4P,1810
497,ADGRE5,3780
498,ADGRF1,6246
499,ADGRF2P,2013
500,ADGRF3,5289
501,ADGRF4,3515
502,ADGRF5,7640
503,ADGRF5-AS1,781
504,ADGRF5P1,1135
505,ADGRF5P2,1659
506,ADGRG1,8531
507,ADGRG2,5614
508,ADGRG3,2774
509,ADGRG4,10076
510,ADGRG5,4182
511,ADGRG6,7029
512,ADGRG7,3207
513,ADGRL1,7910
514,ADGRL1-AS1,2895
515,ADGRL2,11373
516,ADGRL3,13991
517,ADGRL3-AS1,1085
518,ADGRL4,4214
519,ADGRV1,19857
520,ADH1A,1879
521,ADH1B,4480
522,ADH1C,2380
523,ADH4,2151
524,ADH5,2732
525,ADH5P2,1124
526,ADH5P3,1137
527,ADH5P4,1110
528,ADH5P5,352
529,ADH6,4019
530,ADH7,2510
531,ADHFE1,2100
532,ADI1,5287
533,ADI1P1,538
534,ADI1P2,429
535,ADI1P3,470
536,ADIG,937
537,ADIPINT,4861
538,ADIPOQ,5253
539,ADIPOQ-AS1,3443
540,ADIPOR1,4472
541,ADIPOR1P1,1074
542,ADIPOR1P2,1154
543,ADIPOR2,5243
544,ADIRF,654
545,ADIRF-AS1,4719
546,ADISSP,2618
547,ADK,3040
548,ADM,2591
549,ADM-DT,2175
550,ADM2,4289
551,ADM5,1249
552,ADNP,8880
553,ADNP-AS1,2939
554,ADNP2,5444
555,ADO,3760
556,ADORA1,4569
557,ADORA1-AS1,353
558,ADORA1-AS2,2819
559,ADORA2A,10594
560,ADORA2A-AS1,4025
561,ADORA2B,1522
562,ADORA2BP1,842
563,ADORA3,1821
564,ADPGK,2689
565,ADPGK-AS1,5423
566,ADPRH,5058
567,ADPRHL1,10872
568,ADPRM,2495
569,ADPRS,1665
570,ADRA1A,5769
571,ADRA1B,2824
572,ADRA1D,2942
573,ADRA2A,3879
574,ADRA2B,3696
575,ADRA2C,2179
576,ADRB1,3039
577,ADRB2,2013
578,ADRB3,2585
579,ADRM1,2959
580,ADSL,4903
581,ADSS1,2534
582,ADSS2,2555
583,ADTRP,1904
584,AEBP1,4363
585,AEBP2,6062
586,AEN,5885
587,AFAP1,7984
588,AFAP1-AS1,12180
589,AFAP1L1,6168
590,AFAP1L2,5512
591,AFDN,10155
592,AFDN-DT,7086
593,AFF1,10023
594,AFF2,14008
595,AFF2-IT1,443
596,AFF3,10283
597,AFF4,9913
598,AFF4-DT,1704
599,AFF4P1,889
600,AFG1L,5256
601,AFG2A,8196
602,AFG2B,2561
603,AFG3L1P,5431
604,AFG3L2,3673
605,AFG3L2P1,1763
606,AFM,2991
607,AFMID,2479
608,AFP,2426
609,AFTPH,5212
610,AFTPH-DT,2163
611,AGA,2135
612,AGA-DT,5953
613,AGAP1,12947
614,AGAP1-IT1,715
615,AGAP10P,2418
616,AGAP11,1740
617,AGAP12P,3147
618,AGAP13P,2061
619,AGAP14P,2060
620,AGAP2,7378
621,AGAP2-AS1,1500
622,AGAP3,5735
623,AGAP4,2853
624,AGAP5,2727
625,AGAP6,2983
626,AGAP7P,2062
627,AGAP9,2387
628,AGBL1,12723
629,AGBL1-AS1,2230
630,AGBL2,3927
631,AGBL3,3684
632,AGBL4,3990
633,AGBL4-AS1,566
634,AGBL4-IT1,514
635,AGBL5,3938
636,AGBL5-AS1,407
637,AGBL5-IT1,339
638,AGER,1788
639,AGFG1,8819
640,AGFG2,5006
641,AGGF1,4822
642,AGGF1P1,2073
643,AGGF1P10,2191
644,AGGF1P2,2106
645,AGGF1P3,1213
646,AGGF1P4,801
647,AGGF1P5,919
648,AGGF1P6,976
649,AGGF1P7,913
650,AGGF1P8,1000
651,AGGF1P9,913
652,AGK,7440
653,AGK-DT,3772
654,AGKP1,1263
655,AGKP2,1262
656,AGL,8276
657,AGMAT,3122
658,AGMO,2478
659,AGO1,13919
660,AGO2,14595
661,AGO3,20591
662,AGO4,7272
663,AGPAT1,4263
664,AGPAT2,1839
665,AGPAT3,8027
666,AGPAT4,8710
667,AGPAT5,5583
668,AGPAT5P1,1019
669,AGPS,10373
670,AGR2,4882
671,AGR3,817
672,AGRN,7996
673,AGRP,614
674,AGT,7028
675,AGTPBP1,5435
676,AGTR1,4690
677,AGTR2,2862
678,AGTRAP,1317
679,AGXT,4907
680,AGXT2,3404
681,AHCTF1,9298
682,AHCTF1P1,6821
683,AHCY,2481
684,AHCYL1,4733
685,AHCYL2,5819
686,AHCYP2,1300
687,AHCYP3,1279
688,AHCYP4,1315
689,AHCYP5,1238
690,AHCYP7,1308
691,AHCYP8,209
692,AHDC1,7107
693,AHI1,14262
694,AHI1-DT,13056
695,AHNAK,19220
696,AHNAK2,18335
697,AHR,7636
698,AHRR,8545
699,AHSA1,2285
700,AHSA2P,6903
701,AHSG,1924
702,AHSP,661
703,AICDA,3059
704,AIDA,3104
705,AIDAP1,917
706,AIDAP2,919
707,AIDAP3,997
708,AIF1,774
709,AIF1L,3818
710,AIFM1,5194
711,AIFM1P1,1841
712,AIFM2,12257
713,AIFM3,3696
714,AIG1,7933
715,AIG1P1,148
716,AIM2,3116
717,AIMP1,8474
718,AIMP1P1,937
719,AIMP1P2,312
720,AIMP2,1366
721,AIP,1600
722,AIPL1,3756
723,AIRE,2690
724,AIRIM,4131
725,AIRN,4506
726,AJAP1,14519
727,AJM1,4642
728,AJUBA,4679
729,AJUBA-DT,4126
730,AK1,3956
731,AK2,8949
732,AK2P2,405
733,AK3,4487
734,AK3P2,429
735,AK3P3,664
736,AK3P4,583
737,AK3P5,519
738,AK3P6,672
739,AK3P7,279
740,AK4,7627
741,AK4P1,672
742,AK4P2,670
743,AK4P3,1923
744,AK4P4,646
745,AK4P5,634
746,AK4P6,528
747,AK5,4524
748,AK5-AS1,1082
749,AK6,2140
750,AK6P1,478
751,AK6P2,471
752,AK7,5000
753,AK8,1962
754,AK9,9384
755,AKAIN1,3117
756,AKAP1,7361
757,AKAP1-DT,2498
758,AKAP10,4541
759,AKAP11,10496
760,AKAP12,8810
761,AKAP13,16745
762,AKAP13-AS1,660
763,AKAP14,1209
764,AKAP17A,9846
765,AKAP17BP,2719
766,AKAP3,5844
767,AKAP4,3009
768,AKAP5,7512
769,AKAP6,17783
770,AKAP7,3836
771,AKAP8,3707
772,AKAP8L,2371
773,AKAP8P1,1349
774,AKAP9,14946
775,AKIP1,2750
776,AKIRIN1,2692
777,AKIRIN1P1,544
778,AKIRIN1P2,570
779,AKIRIN2,1920
780,AKIRIN2P1,352
781,AKNA,8428
782,AKNAD1,3265
783,AKR1A1,2636
784,AKR1B1,1493
785,AKR1B10,1726
786,AKR1B10P1,942
787,AKR1B10P2,927
788,AKR1B15,2022
789,AKR1B1P1,956
790,AKR1B1P2,934
791,AKR1B1P3,588
792,AKR1B1P4,922
793,AKR1B1P5,934
794,AKR1B1P6,839
795,AKR1B1P7,952
796,AKR1B1P8,936
797,AKR1C1,6937
798,AKR1C2,4045
799,AKR1C3,1648
800,AKR1C4,3159
801,AKR1C5P,609
802,AKR1C6P,983
803,AKR1C7P,895
804,AKR1C8,1315
805,AKR1D1,3443
806,AKR1D1P1,936
807,AKR1E2,1701
808,AKR7A2,3334
809,AKR7A2P1,915
810,AKR7A2P2,959
811,AKR7A3,1411
812,AKR7L,1313
813,AKT1,5991
814,AKT1S1,7575
815,AKT2,14880
816,AKT3,13269
817,AKT3-IT1,517
818,AKTIP,6125
819,AKTIPP1,884
820,AKTIPP2,877
821,AKTIPP3,555
822,ALAD,5504
823,ALAS1,3502
824,ALAS2,2056
825,ALB,4184
826,ALCAM,5020
827,ALDH16A1,3315
828,ALDH18A1,3878
829,ALDH1A1,2646
830,ALDH1A2,4340
831,ALDH1A2-AS1,874
832,ALDH1A3,5121
833,ALDH1A3-AS1,5239
834,ALDH1B1,3350
835,ALDH1L1,5192
836,ALDH1L1-AS1,5251
837,ALDH1L1-AS2,3789
838,ALDH1L2,8308
839,ALDH2,9974
840,ALDH3A1,3250
841,ALDH3A2,4909
842,ALDH3B1,4087
843,ALDH3B2,2707
844,ALDH4A1,3792
845,ALDH5A1,5341
846,ALDH6A1,5835
847,ALDH7A1,5442
848,ALDH7A1P1,1533
849,ALDH7A1P2,621
850,ALDH7A1P3,345
851,ALDH7A1P4,178
852,ALDH8A1,2741
853,ALDH9A1,2430
854,ALDOA,2314
855,ALDOAP1,1078
856,ALDOAP2,1076
857,ALDOB,8363
858,ALDOC,1867
859,ALDOC-AS1,298
860,ALG1,5267
861,ALG10,3011
862,ALG10B,10062
863,ALG11,9146
864,ALG12,9769
865,ALG13,6834
866,ALG13-AS1,195
867,ALG14,9375
868,ALG1L10P,430
869,ALG1L11P,450
870,ALG1L12P,434
871,ALG1L13P,584
872,ALG1L14P,434
873,ALG1L15P,794
874,ALG1L1P,893
875,ALG1L2,1008
876,ALG1L3P,765
877,ALG1L5P,771
878,ALG1L6P,758
879,ALG1L7P,768
880,ALG1L8P,760
881,ALG1L9P,7563
882,ALG2,2970
883,ALG3,2143
884,ALG3P1,1114
885,ALG5,4226
886,ALG6,3325
887,ALG8,5628
888,ALG9,6881
889,ALG9-IT1,684
890,ALK,6615
891,ALKAL1,1140
892,ALKAL2,3704
893,ALKBH1,2711
894,ALKBH2,2068
895,ALKBH3,1844
896,ALKBH3-AS1,2084
897,ALKBH4,2094
898,ALKBH5,3347
899,ALKBH6,1829
900,ALKBH7,1235
901,ALKBH8,5055
902,ALLC,1441
903,ALMS1,13075
904,ALMS1-IT1,2105
905,ALMS1P1,6738
906,ALOX12,2578
907,ALOX12B,2515
908,ALOX12P1,1229
909,ALOX12P2,4840
910,ALOX15,3026
911,ALOX15B,2745
912,ALOX15P1,984
913,ALOX15P2,1897
914,ALOX5,2675
915,ALOX5AP,2184
916,ALOXE3,3739
917,ALOXE3P1,1305
918,ALPG,2492
919,ALPI,3241
920,ALPK1,5886
921,ALPK2,7437
922,ALPK3,10418
923,ALPL,2686
924,ALPP,2754
925,ALS2,15068
926,ALS2CL,6445
927,ALX1,1332
928,ALX3,1976
929,ALX4,5727
930,ALYREF,1097
931,AMACR,4162
932,AMANZI,3868
933,AMBN,2005
934,AMBP,2115
935,AMBRA1,5867
936,AMD1,6713
937,AMD1P1,922
938,AMD1P2,1984
939,AMD1P3,994
940,AMD1P4,1345
941,AMDHD1,2256
942,AMDHD2,3301
943,AMELX,835
944,AMELY,968
945,AMER1,8407
946,AMER2,10610
947,AMER3,6438
948,AMFR,3610
949,AMH,1809
950,AMHR2,2230
951,AMIGO1,5141
952,AMIGO2,4622
953,AMIGO3,2856
954,AMMECR1,5914
955,AMMECR1-IT1,561
956,AMMECR1L,5234
957,AMMECR1LP1,841
958,AMN,1550
959,AMN1,2528
960,AMN1-AS1,2088
961,AMOT,8518
962,AMOTL1,9020
963,AMOTL2,5160
964,AMPD1,2407
965,AMPD2,5175
966,AMPD3,6814
967,AMPH,3884
968,AMT,2078
969,AMTN,1009
970,AMY1A,2821
971,AMY1B,2347
972,AMY1C,2158
973,AMY2A,1584
974,AMY2B,2186
975,AMYP1,1023
976,AMZ1,8955
977,AMZ2,4987
978,AMZ2P1,2840
979,AMZ2P2,1057
980,AMZ2P3,548
981,ANAPC1,7964
982,ANAPC10,3007
983,ANAPC10P1,556
984,ANAPC11,4231
985,ANAPC13,4013
986,ANAPC13P1,220
987,ANAPC15,3568
988,ANAPC15P1,395
989,ANAPC15P2,344
990,ANAPC16,7643
991,ANAPC1P1,2145
992,ANAPC1P2,3527
993,ANAPC1P3,312
994,ANAPC1P4,2070
995,ANAPC1P5,601
996,ANAPC1P6,831
997,ANAPC2,3352
998,ANAPC4,4576
999,ANAPC5,2788
1000,ANAPC7,3791
1001,ANG,3902
1002,ANGEL1,5945
1003,ANGEL2,4793
1004,ANGPT1,4369
1005,ANGPT2,6794
1006,ANGPT4,4692
1007,ANGPTL1,5217
1008,ANGPTL2,3533
1009,ANGPTL3,3865
1010,ANGPTL4,2013
1011,ANGPTL5,2621
1012,ANGPTL6,2717
1013,ANGPTL7,2224
1014,ANGPTL8,945
1015,ANHX,2118
1016,ANK1,9485
1017,ANK2,18125
1018,ANK2-AS1,3435
1019,ANK3,19460
1020,ANK3-DT,434
1021,ANKAR,4605
1022,ANKDD1A,4238
1023,ANKDD1B,3214
1024,ANKEF1,5429
1025,ANKFN1,10121
1026,ANKFY1,7762
1027,ANKH,8306
1028,ANKH-DT,382
1029,ANKHD1,9977
1030,ANKHD1-DT,2294
1031,ANKHD1-EIF4EBP3,8246
1032,ANKIB1,7432
1033,ANKK1,2553
1034,ANKLE1,3221
1035,ANKLE2,6530
1036,ANKMY1,6557
1037,ANKMY2,3007
1038,ANKRA2,2402
1039,ANKRD1,1798
1040,ANKRD10,3029
1041,ANKRD10-IT1,800
1042,ANKRD11,14684
1043,ANKRD11P1,6848
1044,ANKRD11P2,988
1045,ANKRD12,11624
1046,ANKRD13A,4309
1047,ANKRD13B,3712
1048,ANKRD13C,5928
1049,ANKRD13C-DT,1007
1050,ANKRD13D,2424
1051,ANKRD16,3745
1052,ANKRD17,11287
1053,ANKRD17-DT,3413
1054,ANKRD18A,4160
1055,ANKRD18B,4163
1056,ANKRD18CP,2980
1057,ANKRD18DP,1975
1058,ANKRD18EP,2632
1059,ANKRD18FP,709
1060,ANKRD19P,3366
1061,ANKRD2,1637
1062,ANKRD20A1,3895
1063,ANKRD20A10P,1515
1064,ANKRD20A11P,3717
1065,ANKRD20A17P,1330
1066,ANKRD20A18P,492
1067,ANKRD20A19P,295
1068,ANKRD20A21P,3588
1069,ANKRD20A2P,4194
1070,ANKRD20A3P,4230
1071,ANKRD20A4P,4194
1072,ANKRD20A5P,6013
1073,ANKRD20A6P,204
1074,ANKRD20A7P,4266
1075,ANKRD20A8P,3686
1076,ANKRD20A9P,2978
1077,ANKRD22,3858
1078,ANKRD23,4247
1079,ANKRD24,4864
1080,ANKRD26,7884
1081,ANKRD26P1,966
1082,ANKRD26P2,1710
1083,ANKRD26P3,4356
1084,ANKRD26P4,950
1085,ANKRD27,7203
1086,ANKRD28,8344
1087,ANKRD29,4236
1088,ANKRD30A,5021
1089,ANKRD30B,5936
1090,ANKRD30BL,1564
1091,ANKRD30BP1,2186
1092,ANKRD30BP2,1610
1093,ANKRD30BP3,1070
1094,ANKRD31,6207
1095,ANKRD33,1895
1096,ANKRD33B,9586
1097,ANKRD33B-AS1,522
1098,ANKRD33BP1,1427
1099,ANKRD33BP10,1459
1100,ANKRD33BP2,3707
1101,ANKRD33BP3,1444
1102,ANKRD33BP5,1516
1103,ANKRD33BP6,1582
1104,ANKRD33BP7,1454
1105,ANKRD33BP8,1178
1106,ANKRD33BP9,1677
1107,ANKRD34A,3948
1108,ANKRD34B,7370
1109,ANKRD34C,5506
1110,ANKRD34C-AS1,9468
1111,ANKRD35,3396
1112,ANKRD36,7907
1113,ANKRD36B,6091
1114,ANKRD36BP1,1779
1115,ANKRD36BP2,7627
1116,ANKRD36C,7636
1117,ANKRD36P1,659
1118,ANKRD36P2,242
1119,ANKRD37,784
1120,ANKRD39,892
1121,ANKRD39P1,426
1122,ANKRD40,4166
1123,ANKRD40CL,2039
1124,ANKRD42,6115
1125,ANKRD42-DT,2897
1126,ANKRD44,9538
1127,ANKRD44-AS1,797
1128,ANKRD44-DT,1016
1129,ANKRD44-IT1,1850
1130,ANKRD45,2660
1131,ANKRD46,8941
1132,ANKRD49,3159
1133,ANKRD49P1,714
1134,ANKRD49P2,533
1135,ANKRD49P3,715
1136,ANKRD49P4,713
1137,ANKRD50,10267
1138,ANKRD52,8681
1139,ANKRD53,2185
1140,ANKRD54,2838
1141,ANKRD54P1,471
1142,ANKRD55,2658
1143,ANKRD6,7523
1144,ANKRD60,3407
1145,ANKRD61,1423
1146,ANKRD62,4754
1147,ANKRD62P1,1623
1148,ANKRD62P1-PARP4P3,1181
1149,ANKRD63,4693
1150,ANKRD65,5427
1151,ANKRD65-AS1,1222
1152,ANKRD66,3287
1153,ANKRD7,1445
1154,ANKRD9,8058
1155,ANKS1A,10054
1156,ANKS1B,8109
1157,ANKS3,3138
1158,ANKS4B,4323
1159,ANKS6,7488
