gene_id,gene_symbol,chromosome,start,end,exon_length_bp
ENSMUSG00000001943,Vsig2,chr9,37450502,37455503,4206
ENSMUSG00000001946,Esam,chr9,37439344,37449615,11244
ENSMUSG00000001948,Spa17,chr9,37513599,37525027,15912
ENSMUSG00000001962,Fam50a,chrX,73356612,73364649,18177
ENSMUSG00000001964,Emd,chrX,73298286,73305169,16470
ENSMUSG00000001983,Taco1,chr11,105956874,105965630,1383
ENSMUSG00000001985,Grik3,chr4,125384202,125607966,16552
ENSMUSG00000001986,Gria3,chrX,40489476,40767490,64458
ENSMUSG00000001988,Npas1,chr7,16188679,16211653,42629
ENSMUSG00000001995,Sipa1l2,chr8,126144492,126296625,130772
ENSMUSG00000001998,Ap4e1,chr2,126850628,126911423,20775
ENSMUSG00000001999,Blvra,chr2,126912556,126939017,29216
ENSMUSG00000002006,Pdzd4,chrX,72836963,72868612,26338
ENSMUSG00000002007,Srpk3,chrX,72817975,72822563,29797
ENSMUSG00000002010,Idh3g,chrX,72820644,72830719,29667
ENSMUSG00000002012,Pnck,chrX,72699587,72703736,63432
ENSMUSG00000002014,Ssr4,chrX,72830304,72836970,67968
ENSMUSG00000002015,Bcap31,chrX,72727524,72760958,58251
ENSMUSG00000002017,Fam98a,chr17,75844081,75858941,17932
ENSMUSG00000002020,Ltbp2,chr12,84829986,84923306,20049
ENSMUSG00000002028,Kmt2a,chr9,44714652,44792621,32985
ENSMUSG00000002031,Ift46,chr9,44679205,44704744,9097
ENSMUSG00000002032,Tmem25,chr9,44705066,44710624,63535
ENSMUSG00000002033,Cd3g,chr9,44880870,44891735,1926
ENSMUSG00000002043,Trappc6a,chr7,19242320,19250070,11957
ENSMUSG00000002052,Supt6,chr11,78097572,78137037,25684
ENSMUSG00000002055,Spag5,chr11,78192355,78213285,19139
ENSMUSG00000002057,Foxn1,chr11,78248403,78277384,3214
ENSMUSG00000002058,Unc119,chr11,78234257,78245730,12297
ENSMUSG00000002059,Rab34,chr11,78079183,78083604,17324
ENSMUSG00000002064,Sdf2,chr11,78136535,78146323,8530
ENSMUSG00000002068,Ccne1,chr7,37797404,37808264,24838
ENSMUSG00000002076,Hsf2bp,chr17,32161237,32255368,83112
ENSMUSG00000002083,Bbc3,chr7,16042318,16052130,22285
ENSMUSG00000002100,Mybpc3,chr2,90948489,90966861,12463
ENSMUSG00000002102,Psmc3,chr2,90884354,90896714,19236
ENSMUSG00000002103,Acp2,chr2,91033138,91044443,31996
ENSMUSG00000002104,Rapsn,chr2,90865892,90876082,18851
ENSMUSG00000002105,Slc39a13,chr2,90892122,90900916,50351
ENSMUSG00000002107,Celf2,chr2,6544505,7514374,185489
ENSMUSG00000002108,Nr1h3,chr2,91014394,91033417,76518
ENSMUSG00000002109,Ddb2,chr2,91040809,91078878,34500
ENSMUSG00000002111,Spi1,chr2,90912562,90946101,5856
ENSMUSG00000002129,Sf3a1,chr11,4110349,4133588,5968
ENSMUSG00000002147,Stat6,chr10,127477821,127496862,60757
ENSMUSG00000002190,Clgn,chr8,84116307,84155187,33441
ENSMUSG00000002204,Napsa,chr7,44221804,44236295,2870
ENSMUSG00000002205,Vrk3,chr7,44397826,44426942,17870
ENSMUSG00000002210,Smg9,chr7,24098984,24122426,36056
ENSMUSG00000002221,Paxip1,chr5,27945078,27996699,60021
ENSMUSG00000002222,Rmnd5a,chr6,71365618,71417660,12175
ENSMUSG00000002227,Mov10,chr3,104702140,104725879,31503
ENSMUSG00000002228,Ppm1j,chr3,104688349,104693339,9974
ENSMUSG00000002233,Rhoc,chr3,104695691,104701779,24520
ENSMUSG00000002240,Prr27,chr5,87973545,87994246,2650
ENSMUSG00000002249,Tead3,chr17,28550645,28569791,10377
ENSMUSG00000002250,Ppard,chr17,28451674,28520448,8232
ENSMUSG00000002257,Def6,chr17,28426752,28448784,12792
ENSMUSG00000002265,Peg3,chr7,6706882,6733468,71541
ENSMUSG00000002266,Zim1,chr7,6674268,6699500,17252
ENSMUSG00000002274,Metrn,chr17,26012195,26016057,8719
ENSMUSG00000002279,Lmf1,chr17,25798048,25888183,11443
ENSMUSG00000002280,Ciao3,chr17,25992391,26002308,48717
ENSMUSG00000002289,Angptl4,chr17,33992724,34000804,6334
ENSMUSG00000002297,Dbf4,chr5,8445717,8472796,17158
ENSMUSG00000002307,Daxx,chr17,34128384,34134564,30799
ENSMUSG00000002308,Cd320,chr17,34062059,34083496,23854
ENSMUSG00000002319,Ipo4,chr14,55862857,55873414,11454
ENSMUSG00000002320,Tm9sf1,chr14,55873421,55881279,103014
ENSMUSG00000002324,Rec8,chr14,55855455,55862852,8105
ENSMUSG00000002325,Irf9,chr14,55841028,55847812,24892
ENSMUSG00000002326,Gmpr2,chr14,55909398,55917103,19263
ENSMUSG00000002329,Mdp1,chr14,55895336,55897965,11715
ENSMUSG00000002332,Dhrs1,chr14,55976477,55983158,11785
ENSMUSG00000002341,Ncan,chr8,70538926,70573523,37604
ENSMUSG00000002342,Tmem161a,chr8,70624996,70637057,44762
ENSMUSG00000002343,Armc6,chr8,70672822,70687520,65040
ENSMUSG00000002345,Borcs8,chr8,70592051,70602731,19677
ENSMUSG00000002346,Slc25a42,chr8,70636988,70664966,14225
ENSMUSG00000002365,Snx9,chr17,5891166,5982369,26997
ENSMUSG00000002372,Ranbp3,chr17,56980208,57018771,70300
ENSMUSG00000002379,Ndufa11,chr17,57024322,57031247,21721
ENSMUSG00000002384,Bmp8b,chr4,122998923,123025892,4928
ENSMUSG00000002393,Nr2f6,chr8,71826456,71835239,18938
ENSMUSG00000002395,Use1,chr8,71819330,71823380,6293
