gene_id,gene_symbol,exon_length_bp
ENSMUSG00000001525,Tubb5,17946
ENSMUSG00000001542,Ell2,17376
ENSMUSG00000001552,Jup,70843
ENSMUSG00000001555,Fkbp10,21392
ENSMUSG00000001558,Klhl10,6990
ENSMUSG00000001566,Mnx1,2413
ENSMUSG00000001569,Nom1,23180
ENSMUSG00000001576,Ergic1,27376
ENSMUSG00000001583,Tnk1,10209
ENSMUSG00000001588,Acap1,7414
ENSMUSG00000001604,Tcea3,88900
ENSMUSG00000001622,Csn3,3929
ENSMUSG00000001627,Ifrd1,15975
ENSMUSG00000001630,Stk38l,31721
ENSMUSG00000001632,Brpf1,60213
ENSMUSG00000001642,Akr1b1,3627
ENSMUSG00000001655,Hoxc13,2461
ENSMUSG00000001656,Hoxc11,2021
ENSMUSG00000001657,Hoxc8,4021
ENSMUSG00000001661,Hoxc6,3364
ENSMUSG00000001663,Gstt1,9615
ENSMUSG00000001665,Gstt3,7360
ENSMUSG00000001666,Ddt,4700
ENSMUSG00000001670,Tat,2381
ENSMUSG00000001672,Marveld3,6353
ENSMUSG00000001674,Ddx18,13890
ENSMUSG00000001687,Ubl3,26073
ENSMUSG00000001700,Gramd2b,18377
ENSMUSG00000001707,Eef1e1,10255
ENSMUSG00000001729,Akt1,80790
ENSMUSG00000001739,Cldn15,9528
ENSMUSG00000001741,Il16,19340
ENSMUSG00000001750,Tcirg1,36719
ENSMUSG00000001751,Naglu,14199
ENSMUSG00000001755,Coasy,14197
ENSMUSG00000001761,Smo,9922
ENSMUSG00000001763,Tspan33,28234
ENSMUSG00000001767,Crnkl1,42144
ENSMUSG00000001768,Rin2,39744
ENSMUSG00000001773,Folh1,14064
ENSMUSG00000001774,Chordc1,48153
ENSMUSG00000001783,Rtcb,32915
ENSMUSG00000001785,Pwp1,20701
ENSMUSG00000001786,Fbxo7,48700
ENSMUSG00000001794,Capns1,10538
ENSMUSG00000001802,Lrp3,21764
ENSMUSG00000001804,Dsg4,3478
ENSMUSG00000001815,Evx2,5619
ENSMUSG00000001819,Hoxd13,2483
ENSMUSG00000001823,Hoxd12,2534
ENSMUSG00000001827,Folr1,37996
ENSMUSG00000001829,Clpb,98426
ENSMUSG00000001833,Septin7,13086
ENSMUSG00000001844,Zdhhc4,41136
ENSMUSG00000001847,Rac1,25141
ENSMUSG00000001855,Nup214,17473
ENSMUSG00000001864,Aif1l,9339
ENSMUSG00000001865,Cpa3,5195
ENSMUSG00000001870,Ltbp1,29760
ENSMUSG00000001891,Ugp2,31822
ENSMUSG00000001901,Kcnh6,8801
ENSMUSG00000001909,Trmt1,48567
ENSMUSG00000001910,Nacc1,62409
ENSMUSG00000001911,Nfix,52140
ENSMUSG00000001918,Slc1a5,26587
ENSMUSG00000001924,Uba1,174276
ENSMUSG00000001930,Vwf,30020
ENSMUSG00000001942,Siae,13142
ENSMUSG00000001943,Vsig2,4206
ENSMUSG00000001946,Esam,11244
ENSMUSG00000001948,Spa17,15912
ENSMUSG00000001962,Fam50a,18177
ENSMUSG00000001964,Emd,16470
ENSMUSG00000001983,Taco1,1383
ENSMUSG00000001985,Grik3,16552
ENSMUSG00000001986,Gria3,64458
ENSMUSG00000001988,Npas1,42629
ENSMUSG00000001995,Sipa1l2,130772
ENSMUSG00000001998,Ap4e1,20775
ENSMUSG00000001999,Blvra,29216
ENSMUSG00000002006,Pdzd4,26338
ENSMUSG00000002007,Srpk3,29797
ENSMUSG00000002010,Idh3g,29667
ENSMUSG00000002012,Pnck,63432
ENSMUSG00000002014,Ssr4,67968
ENSMUSG00000002015,Bcap31,58251
ENSMUSG00000002017,Fam98a,17932
ENSMUSG00000002020,Ltbp2,20049
ENSMUSG00000002028,Kmt2a,32985
ENSMUSG00000002031,Ift46,9097
ENSMUSG00000002032,Tmem25,63535
ENSMUSG00000002033,Cd3g,1926
ENSMUSG00000002043,Trappc6a,11957
ENSMUSG00000002052,Supt6,25684
ENSMUSG00000002055,Spag5,19139
ENSMUSG00000002057,Foxn1,3214
ENSMUSG00000002058,Unc119,12297
ENSMUSG00000002059,Rab34,17324
ENSMUSG00000002064,Sdf2,8530
ENSMUSG00000002068,Ccne1,24838
ENSMUSG00000002076,Hsf2bp,83112
ENSMUSG00000002083,Bbc3,22285
ENSMUSG00000002100,Mybpc3,12463
ENSMUSG00000002102,Psmc3,19236
ENSMUSG00000002103,Acp2,31996
ENSMUSG00000002104,Rapsn,18851
ENSMUSG00000002105,Slc39a13,50351
ENSMUSG00000002107,Celf2,185489
ENSMUSG00000002108,Nr1h3,76518
ENSMUSG00000002109,Ddb2,34500
ENSMUSG00000002111,Spi1,5856
ENSMUSG00000002129,Sf3a1,5968
ENSMUSG00000002147,Stat6,60757
ENSMUSG00000002190,Clgn,33441
ENSMUSG00000002204,Napsa,2870
ENSMUSG00000002205,Vrk3,17870
ENSMUSG00000002210,Smg9,36056
ENSMUSG00000002221,Paxip1,60021
ENSMUSG00000002222,Rmnd5a,12175
ENSMUSG00000002227,Mov10,31503
ENSMUSG00000002228,Ppm1j,9974
ENSMUSG00000002233,Rhoc,24520
ENSMUSG00000002240,Prr27,2650
ENSMUSG00000002249,Tead3,10377
ENSMUSG00000002250,Ppard,8232
ENSMUSG00000002257,Def6,12792
ENSMUSG00000002265,Peg3,71541
ENSMUSG00000002266,Zim1,17252
ENSMUSG00000002274,Metrn,8719
ENSMUSG00000002279,Lmf1,11443
ENSMUSG00000002280,Ciao3,48717
ENSMUSG00000002289,Angptl4,6334
ENSMUSG00000002297,Dbf4,17158
ENSMUSG00000002307,Daxx,30799
ENSMUSG00000002308,Cd320,23854
ENSMUSG00000002319,Ipo4,11454
ENSMUSG00000002320,Tm9sf1,103014
ENSMUSG00000002324,Rec8,8105
ENSMUSG00000002325,Irf9,24892
ENSMUSG00000002326,Gmpr2,19263
ENSMUSG00000002329,Mdp1,11715
ENSMUSG00000002332,Dhrs1,11785
ENSMUSG00000002341,Ncan,37604
ENSMUSG00000002342,Tmem161a,44762
ENSMUSG00000002343,Armc6,65040
ENSMUSG00000002345,Borcs8,19677
ENSMUSG00000002346,Slc25a42,14225
ENSMUSG00000002365,Snx9,26997
ENSMUSG00000002372,Ranbp3,70300
ENSMUSG00000002379,Ndufa11,21721
ENSMUSG00000002384,Bmp8b,4928
ENSMUSG00000002393,Nr2f6,18938
ENSMUSG00000002395,Use1,6293
ENSMUSG00000002396,Ocel1,28200
ENSMUSG00000002409,Dyrk1b,95742
ENSMUSG00000002413,Braf,112267
ENSMUSG00000002416,Ndufb2,47270
ENSMUSG00000002428,Hltf,22813
ENSMUSG00000002455,Prpf6,29735
ENSMUSG00000002458,Rgs19,25424
ENSMUSG00000002459,Rgs20,5725
ENSMUSG00000002475,Abhd3,33145
ENSMUSG00000002477,Snrpd1,11062
ENSMUSG00000002486,Tchp,11758
ENSMUSG00000002489,Tiam1,119391
ENSMUSG00000002496,Tsc2,377189
ENSMUSG00000002500,Rpl3l,6619
ENSMUSG00000002504,Nherf2,32224
ENSMUSG00000002524,Puf60,47538
ENSMUSG00000002546,Golga2,91314
ENSMUSG00000002550,Uck1,13264
ENSMUSG00000002565,Scin,5724
ENSMUSG00000002578,Ikzf4,20475
ENSMUSG00000002580,Mien1,2277
ENSMUSG00000002588,Pon1,11355
ENSMUSG00000002602,Axl,50097
ENSMUSG00000002603,Tgfb1,9917
ENSMUSG00000002608,Ccdc97,25041
ENSMUSG00000002617,Zfp40,31744
ENSMUSG00000002625,Akap8l,12420
ENSMUSG00000002633,Shh,2847
ENSMUSG00000002635,Pdcd2l,13101
ENSMUSG00000002658,Gtf2f1,30597
ENSMUSG00000002660,Clpp,16337
ENSMUSG00000002661,Alkbh7,12850
ENSMUSG00000002664,Pspn,474
ENSMUSG00000002668,Dennd1c,18016
ENSMUSG00000002679,Med6,7339
ENSMUSG00000002688,Prkd1,31674
ENSMUSG00000002699,Lcp2,10013
ENSMUSG00000002718,Cse1l,45444
ENSMUSG00000002728,Naa20,7330
ENSMUSG00000002731,Prkra,11670
ENSMUSG00000002732,Fkbp7,5078
ENSMUSG00000002733,Plekha3,19053
ENSMUSG00000002741,Ykt6,2541
ENSMUSG00000002748,Baz1b,35505
ENSMUSG00000002763,Pex6,45627
ENSMUSG00000002767,Mrpl2,7468
ENSMUSG00000002768,Mea1,115972
ENSMUSG00000002769,Gnmt,10726
ENSMUSG00000002771,Grin2d,39205
ENSMUSG00000002778,Kdelr1,5919
ENSMUSG00000002781,Tmem143,12012
ENSMUSG00000002797,Ggct,7841
ENSMUSG00000002799,Jag2,15288
ENSMUSG00000002803,Btbd6,21591
ENSMUSG00000002804,Nudt14,9894
ENSMUSG00000002808,Epdr1,14632
ENSMUSG00000002812,Flii,48516
ENSMUSG00000002814,Top3a,31013
ENSMUSG00000002820,Atg4d,49692
ENSMUSG00000002825,Qtrt1,5868
ENSMUSG00000002831,Plin4,40658
ENSMUSG00000002833,Hdgfl2,189287
ENSMUSG00000002835,Chaf1a,47008
ENSMUSG00000002844,Adprh,22737
ENSMUSG00000002845,Tmem39a,66713
ENSMUSG00000002846,Timmdc1,19481
ENSMUSG00000002847,Pla1a,11508
ENSMUSG00000002870,Mcm2,30003
ENSMUSG00000002871,Tpra1,64897
ENSMUSG00000002881,Nab1,91964
ENSMUSG00000002885,Adgre5,23919
ENSMUSG00000002897,Il17ra,31252
ENSMUSG00000002900,Lamb1,57826
ENSMUSG00000002908,Kcnn1,25200
ENSMUSG00000002910,Arrdc2,13855
ENSMUSG00000002930,Ppp1r17,7491
ENSMUSG00000002944,Cd36,193468
ENSMUSG00000002948,Map2k7,39350
ENSMUSG00000002949,Timm44,22674
ENSMUSG00000002957,Ap2a2,139330
ENSMUSG00000002963,Pnkp,41776
ENSMUSG00000002968,Med25,106328
ENSMUSG00000002980,Bcam,31362
ENSMUSG00000002981,Clptm1,35397
ENSMUSG00000002983,Relb,10179
ENSMUSG00000002984,Tomm40,8178
ENSMUSG00000002985,Apoe,50788
ENSMUSG00000002992,Apoc2,7481
ENSMUSG00000002996,Hbp1,27785
ENSMUSG00000002997,Prkar2b,53687
ENSMUSG00000003031,Cdkn1b,9000
ENSMUSG00000003032,Klf4,3033
ENSMUSG00000003033,Ap1m1,62357
ENSMUSG00000003037,Rab8a,30687
ENSMUSG00000003038,Hmgn2,9100
ENSMUSG00000003039,Fam32a,24281
ENSMUSG00000003051,Elf3,15148
ENSMUSG00000003053,Cyp2c29,20949
ENSMUSG00000003062,Stard3nl,24214
ENSMUSG00000003068,Stk11,27258
ENSMUSG00000003070,Efna2,6209
ENSMUSG00000003072,Atp5f1d,27680
ENSMUSG00000003099,Ppp5c,20394
ENSMUSG00000003119,Cdk12,46518
ENSMUSG00000003123,Lipe,15083
ENSMUSG00000003131,Pafah1b2,203319
ENSMUSG00000003134,Tbc1d8,87193
ENSMUSG00000003135,Cnot11,17828
ENSMUSG00000003153,Slc2a3,46684
ENSMUSG00000003154,Foxj2,42157
ENSMUSG00000003161,Sri,28127
ENSMUSG00000003166,Dgcr2,102456
ENSMUSG00000003184,Irf3,10513
ENSMUSG00000003190,Bcl2l12,19978
ENSMUSG00000003198,Zfp959,6662
ENSMUSG00000003199,Mpnd,19696
ENSMUSG00000003200,Sh3gl1,24488
ENSMUSG00000003206,Ebi3,3270
ENSMUSG00000003208,Yju2,6484
ENSMUSG00000003226,Ranbp2,39505
ENSMUSG00000003227,Edar,7395
ENSMUSG00000003228,Grk5,20418
ENSMUSG00000003233,Dvl3,29614
ENSMUSG00000003234,Abcf3,24456
ENSMUSG00000003235,Eif2b5,37230
ENSMUSG00000003269,Cyth2,8085
ENSMUSG00000003271,Sult2b1,4293
ENSMUSG00000003273,Car11,14943
ENSMUSG00000003279,Dlgap1,219556
ENSMUSG00000003282,Plag1,4774
ENSMUSG00000003283,Hck,13103
ENSMUSG00000003299,Mrpl4,24529
ENSMUSG00000003308,Keap1,28242
ENSMUSG00000003309,Ap1m2,5182
ENSMUSG00000003316,Glg1,91559
ENSMUSG00000003341,Atp8b3,17594
ENSMUSG00000003344,Btbd2,30625
ENSMUSG00000003345,Csnk1g2,36208
ENSMUSG00000003346,Abhd17a,28456
ENSMUSG00000003348,Mob3a,17415
ENSMUSG00000003352,Cacnb3,38398
ENSMUSG00000003354,Ccdc65,3471
ENSMUSG00000003355,Fkbp11,9856
ENSMUSG00000003360,Ddx23,9608
ENSMUSG00000003363,Pld3,49662
ENSMUSG00000003378,Grik5,54637
ENSMUSG00000003379,Cd79a,11040
ENSMUSG00000003380,Rabac1,8735
ENSMUSG00000003382,Etv3,36945
ENSMUSG00000003402,Prkcsh,69648
ENSMUSG00000003410,Elavl3,30830
ENSMUSG00000003411,Rab3b,23269
ENSMUSG00000003418,St8sia6,15188
ENSMUSG00000003420,Fcgrt,43917
ENSMUSG00000003421,Nosip,68743
ENSMUSG00000003423,Pih1d1,19076
ENSMUSG00000003429,Rps11,11669
ENSMUSG00000003435,Supt5,23146
ENSMUSG00000003436,Dll3,4985
ENSMUSG00000003437,Paf1,15267
ENSMUSG00000003438,Timm50,11952
ENSMUSG00000003444,Med29,3388
ENSMUSG00000003452,Bicd1,76243
ENSMUSG00000003458,Ncstn,11013
ENSMUSG00000003464,Pex19,42955
ENSMUSG00000003469,Phyhip,28499
ENSMUSG00000003476,Crhr2,14562
ENSMUSG00000003477,Inmt,8346
ENSMUSG00000003484,Cyp4f18,11834
ENSMUSG00000003500,Impdh1,69128
ENSMUSG00000003505,Psg18,3507
ENSMUSG00000003518,Dusp3,21512
ENSMUSG00000003526,Prodh,39402
ENSMUSG00000003527,Ess2,10583
ENSMUSG00000003528,Slc25a1,18099
ENSMUSG00000003531,Dgcr6,6540
ENSMUSG00000003534,Ddr1,56639
ENSMUSG00000003541,Ier3,1139
ENSMUSG00000003545,Fosb,21852
ENSMUSG00000003546,Klc4,69921
ENSMUSG00000003549,Ercc1,30235
ENSMUSG00000003555,Cyp17a1,4416
ENSMUSG00000003559,As3mt,20099
ENSMUSG00000003573,Homer3,30190
ENSMUSG00000003575,Crtc1,92675
ENSMUSG00000003581,Rnf215,18781
ENSMUSG00000003585,Sec14l2,23233
ENSMUSG00000003604,Aven,5687
ENSMUSG00000003617,Cp,32002
ENSMUSG00000003623,Crot,48850
ENSMUSG00000003644,Rps6ka1,27846
ENSMUSG00000003657,Calb2,8166
ENSMUSG00000003660,Snrnp200,43480
ENSMUSG00000003662,Ciao1,22896
ENSMUSG00000003665,Has1,2095
ENSMUSG00000003680,Taf6l,44499
ENSMUSG00000003721,Insig2,58566
ENSMUSG00000003731,Kpna6,11409
ENSMUSG00000003746,Man1a,40897
ENSMUSG00000003752,Itpkc,27731
ENSMUSG00000003762,Coq8b,27894
ENSMUSG00000003778,Brd8,35665
ENSMUSG00000003779,Kif20a,88083
ENSMUSG00000003808,Farsa,26354
ENSMUSG00000003809,Gcdh,21163
ENSMUSG00000003810,Mast2,230672
ENSMUSG00000003812,Dnase2a,5798
ENSMUSG00000003813,Rad23a,88395
ENSMUSG00000003814,Calr,15027
ENSMUSG00000003824,Syce2,10518
ENSMUSG00000003847,Nfat5,46348
ENSMUSG00000003848,Nob1,13309
ENSMUSG00000003849,Nqo1,7319
ENSMUSG00000003863,Ppfia3,91828
ENSMUSG00000003865,Gys1,31437
ENSMUSG00000003868,Ruvbl2,62390
ENSMUSG00000003872,Lin7b,735
ENSMUSG00000003873,Bax,8964
ENSMUSG00000003882,Il7r,7056
ENSMUSG00000003923,Tfam,20271
ENSMUSG00000003929,Zfp81,6647
ENSMUSG00000003934,Efnb3,9555
ENSMUSG00000003948,Mmd,28791
ENSMUSG00000003949,Hlf,15227
ENSMUSG00000003955,Fam162a,9484
ENSMUSG00000003970,Rpl8,2916
ENSMUSG00000003974,Grm3,68556
ENSMUSG00000003992,Ssbp2,139402
ENSMUSG00000004018,Fancl,17860
ENSMUSG00000004031,Brinp2,53831
ENSMUSG00000004032,Gstm5,3196
ENSMUSG00000004035,Gstm7,14796
ENSMUSG00000004038,Gstm3,6348
ENSMUSG00000004040,Stat3,94477
ENSMUSG00000004043,Stat5a,33382
ENSMUSG00000004044,Cavin1,6223
ENSMUSG00000004054,Map3k11,59278
ENSMUSG00000004056,Akt2,263924
ENSMUSG00000004069,Dnaja3,61814
ENSMUSG00000004070,Hmox2,123113
ENSMUSG00000004071,Cdip1,284404
ENSMUSG00000004085,Map3k20,45604
ENSMUSG00000004096,Cwc15,17851
ENSMUSG00000004098,Col5a3,30489
